구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
울주군,KTX울산역 동문굿모닝힐 앞,2020,-,울산광역시 울주군 삼남면 교동리 1678-3,35.5531676,129.1118103,2020-09-23,O
울주군,KTX울산역 동문굿모닝힐 건너편,2020,-,울산광역시 울주군 삼남면 교동리 1678-3,35.5531676,129.1118103,2020-09-23,O
울주군,KTX울산역 우성스마트시티 앞,2020,-,울산광역시 울주군 삼남면 교동리 1704-4,35.5531676,129.1118103,2020-09-23,O
울주군,KTX울산역 우성스마트시티 건너편,2020,-,울산광역시 울주군 삼남면 교동리 1704-4,35.5531676,129.1118103,2020-09-23,O
북구,화봉사거리,2018,-,울산광역시 북구 화봉동 449-11,35.5884379,129.366827,2020-09-23,O
북구,매곡초 사거리,2018,-,울산광역시 북구 매곡동 852,35.6447811,129.3517968,2020-09-23,O
북구,냉천사거리,2018,-,울산광역시 북구 신천동 315-1,35.6341569,129.3490532,2020-09-23,O
북구,냉천사거리,2018,-,울산광역시 북구 신천동 315-1,35.6341569,129.3490532,2020-09-23,O
북구,농소초등학교 후문,2019,울산광역시 북구 수동5길 16-1(호계동),울산광역시 북구 호계동 858-9,35.6211963,129.357165,2020-09-23,O
북구,에일린의 뜰1차,2019,"울산광역시 북구 호계매곡1로 31(매곡동, 드림인시티 에일린의뜰 1차)",울산광역시 북구 매곡동 896 드림인시티 에일린의뜰 1차,35.635577,129.362206,2020-09-23,O
북구,매산초등학교사거리,2019,-,울산광역시 북구 매곡동 산 91-9,35.6438267,129.3593231,2020-09-23,O
북구,일동미라주 앞,2019,-,울산광역시 북구 중산동 1302,35.6628816,129.3533928,2020-09-23,O
북구,매곡초등학교,2019,-,울산광역시 북구 매곡동 852,35.6447811,129.3517968,2020-09-23,O
북구,동대초등학교,2019,"울산광역시 북구 신천로 27(신천동, 극동스타클래스)",울산광역시 북구 신천동 530-1 극동스타클래스,35.6414494,129.3480476,2020-09-23,O
북구,신천초등학교,2019,-,울산광역시 북구 신천동 794,35.6375973,129.3472322,2020-09-23,O
북구,천곡초등학교,2019,울산광역시 북구 천곡길 145(천곡동),울산광역시 북구 천곡동 530-1,35.6390092,129.3293739,2020-09-23,O
북구,신답사거리,2019,-,울산광역시 북구 상안동 322-4,35.6292348,129.3452789,2020-09-23,O
